Hacked target, DeFi Exploit Name,Description, Amount of loss, Attack method, Time, Source,,,,,,
CredixFinance (CREDIX),,"CredixFinance (CREDIX) on ETH is suspected of a rug pull, with the deployer removing substantial liquidity, causing a 100% price decline.","82,906",Rug Pull,2023-11-21,https://etherscan.io/tx/0xc4943319096409dc59c2ff0dc9dcec0f1225793a094e6bde5b51cb5375145b60,,,,,,
Loopring,,Loopring's Twitter account has been hacked; please do not click on the phishing link.,-,Twitter was hacked,2023-11-20,https://twitter.com/SlowMist_Team/status/1726612551205814458,,,,,,
BABYFIDO (BABYFIDO),,"BABYFIDO (BABYFIDO) on ETH is suspected of a rug pull, with the deployer removing substantial liquidity, causing a 100% price decline.","81,400",Rug Pull,2023-11-14,https://etherscan.io/tx/0x1d4924053b7056fa5ab52ed9f82d9a8f62d6e8b3356e6f0fdb99cea197c0504a,,,,,,
Exzo Network,,"Exzo Network tweeted that a recent security breach targeted Exzo ($XZO), resulting from a compromised owner/admin account. The malicious group utilized the compromised admin wallet to transfer the 'ownership' role of Exzo ($XZO) to their wallet, enabling them to mint a substantial amount of $XZO and drain 169 ETH from the XZO/ETH liquidity pool on Uniswap. The attackers also transferred a total of 69 ETH and the remaining XZO in the admin wallet to their own wallet(s).","470,498",Wallet Stolen,2023-11-14,https://twitter.com/Exzo_Network/status/1726680105915765211,,,,,,
Raft Protocol,,The stablecoin protocol Raft protocol on Ethereum was attacked and lost about $3.3 million in ETH.,"3,300,000",Flash Loan Attack,2023-11-11,https://twitter.com/raft_fi/status/1723057566664548623,,,,,,
Mirage Finance,,"Mirage Finance has been exploited for ~$12K, $MRG has dropped 54%.","12,000",Unknown,2023-11-08,https://etherscan.io/tx/0xb3456a338d7b3e7936a4d08b34e265818c116b7871baef8df1492a35f9f3b1bc,,,,,,
MEV Robot,,"The MEV robot (0x05f016765c6c601fd05a10dba1abe21a04f924a5) was exploited and lost about 1k ETH! The core reason is that the 0xf6ebebbb function used to trigger arbitrage in the contract lacks authentication. The attacker calls this function to exchange the tokens in the contract into the pool on curve, and then uses funds of the flash loan to reverse exchange and obtain profit.","2,152,392",Flash Loan Attack,2023-11-07,https://twitter.com/SlowMist_Team/status/1722081647028478029,,,,,,
Frax Finance,,"According to @fraxfinance, Frax Finance's DNS has been attacked. Please don’t use http://frax[.]finance and http://frax[.]com domains until further notice.",-,DNS Hijacking Attack,2023-11-01,https://twitter.com/fraxfinance/status/1719497560543658073,,,,,,
Fake Celestia (TIA),,"Fake Celestia (TIA) on ETH is suspected of a rug pull, with the deployer removing substantial liquidity, causing a 99.5% price decline.","208,394",Rug Pull,2023-11-01,https://etherscan.io/address/0xcd68acc0e6c94c0226b0d760d19951143ee7aa44,,,,,,
Onyx Protocol,,DeFi lending protocol Onyx Protocol has been exploited and has currently lost ~$2.1 million.,"2,100,000",Contract Vulnerability,2023-11-01,https://twitter.com/SlowMist_Team/status/1719667931926413679,,,,,,
Unibot,,"According to SlowMist security alert, Unibot has been exploited, and due to the lack of necessary parameter checks, the exploiter can transfer tokens for which users have approved the Unibot contract. Please revoke approval of 0x126c9FbaB3A2FCA24eDfd17322E71a5e36E91865.","560,000",Contract Vulnerability,2023-10-31,https://twitter.com/SlowMist_Team/status/1719242913769803788,,,,,,
Fake Memecoin (MEME),,"Fake Memecoin (MEME) on ETH is suspected of a rug pull, with the deployer removing substantial liquidity, causing a 100% price decline.","78,947",Rug Pull,2023-10-30,https://etherscan.io/address/0x3417d4fa067806f8f70c2a692548048962b7ac45,,,,,,
Fake MEMEPAD (MEMEPAD),,"Fake MEMEPAD (MEMEPAD) on ETH is suspected of a rug pull, with the deployer removing substantial liquidity, causing a 100% price decline.","80,134",Rug Pull,2023-10-30,https://etherscan.io/address/0x51348a7c3969e670b1763d4b1c17441804ea001d,,,,,,
Fake TITANX (TITANX),,"Fake TITANX (TITANX) on ETH is suspected of a rug pull, with the deployer removing substantial liquidity, causing a 100% price decline.","82,385",Rug Pull,2023-10-30,https://etherscan.io/address/0xaf3302f7a83cb4e66b8f9450b00e7644e605878d,,,,,,
Astrid,,"The Ethereum liquidity restaking pool Astrid was attacked due to a vulnerability in the withdrawal function, resulting in a loss of approximately $228,000. The parameters of the `withdraw()` function, specifically the token address and token amount, were exploitable. On October 29, the hackers returned 80% of the stolen funds (102 ETH).","228,000",Contract Vulnerability,2023-10-28,https://twitter.com/AstridFinance/status/1718254655288066501,,,,,,
STIMMY,,STIMMY on Ethereum pulled liquidity to the tune of 43.8 ETH (~$78.8K) and deleted its social platforms.,"78,800",Rug Pull,2023-10-27,https://etherscan.io/token/0x5bc749a299c5de62325e1a676d53527149f7aa30,,,,,,
Fake Linea token,,A fake Linea token is suspected of a rug pull for ~$1.3m. ~$743k has been deposited into Tornado Cash. Contract Address: 0x00000000fEB6A772307C6aA88AB9D57b209aCb18.,"1,300,000",Rug Pull,2023-10-26,https://etherscan.io/address/0x00000000feb6a772307c6aa88ab9d57b209acb18,,,,,,
Safereum (SAFEREUM),,Safereum has conducted an exit scam for ~$1.3m. Contract Address: 0xb504035a11E672e12a099F32B1672b9C4a78b22f.,"1,300,000",Rug Pull,2023-10-24,https://etherscan.io/address/0xb504035a11e672e12a099f32b1672b9c4a78b22f,,,,,,
Julia (JULIA),,"Julia (JULIA) on ETH is suspected of a rug pull, with the deployer removing substantial liquidity, causing a 100% price decline.","73,000",Rug Pull,2023-10-23,https://etherscan.io/address/0x02d9198f3f730328c0c0b35776b54e615864c42a#tokentxns,,,,,,
HopeLend,,"On October 18, 2023, , the HopeLend protocol fell victim to a hacker attack. The attack resulted in a loss of approximately 528 ETH, out of which 263.91 ETH were bribed by the frontrunner to a Validator (managed by Lido). The exploit frontrunner eventually profited by 264.08 ETH. On October 20, Hope.money tweeted that a frontrunner from Armor Team voluntarily returned the acquired assets.","818,747",Contract Vulnerability,2023-10-18,https://twitter.com/SlowMist_Team/status/1714655324395704423,,,,,,
zkFlex Finance,,"On Oct 8, zkFlex Finance on ETH was rugged for ~$56K when an address 0x84f90d576247D569D972DB84504b5170aB13bCe7 dumped over 281,164,943.53 zkFlex Finance Tokens for 34.26 WETH. Contract Address: 0x54855D3133669B7EF54A2c962F5f63fdb44bBaE9.","56,000",Rug Pull,2023-10-08,https://etherscan.io/address/0x54855d3133669b7ef54a2c962f5f63fdb44bbae9,,,,,,
pSeudoEth,,"On Oct 8, the pSeudoEth token on ETH was exploited for ~$2.3K in a flash loan attack. Contract: 0x62aBdd605E710Cc80a52062a8cC7c5d659dDDbE7. Attacker: 0xea75AeC151f968b8De3789CA201a2a3a7FaeEFbA.","2,300",Flash Loan Attack,2023-10-08,https://etherscan.io/tx/0x4ab68b21799828a57ea99c1288036889b39bf85785240576e697ebff524b3930,,,,,,
DePay,,There is a flashloan attack on the DePay platform that resulted in the theft of 827 USDC. The exploiter used a security issue with DePay router to steal the USDC.,827,Flash Loan Attack,2023-10-05,https://etherscan.io/address/0xae60ac8e69414c2dc362d0e6a03af643d1d85b92,,,,,,
Mode,,Mode Discord was hacked. A phishing link was posted in the announcements channel of the Mode Network Discord server.,-,Discord was hacked,2023-09-28,https://twitter.com/modenetwork/status/1707266458852405364,,,,,,
Cat Nation,,The token Cat Nation is suspected to be a rug pull. Transaction pool address (ETH): 0xC9C1776802216e074eF7A19555cE70bB473B25c0.,"29,700",Rug Pull,2023-09-23,https://etherscan.io/address/0xc9c1776802216e074ef7a19555ce70bb473b25c0,,,,,,
YZER,,"On September 21st, a large liquidity of YZER was removed. Deployer profited ~$28.6k from this liquidity removal.","28,600",Rug Pull,2023-09-21,https://etherscan.io/address/0xCBb391907A492a1e721bB16ae0563243E2B71987,,,,,,
PEPEP,,There is a 70% slippage on PEPEP. ETH: 0xD33830FcC5E434dBb4efF9D5348d74Ee2cbd505F. Drop caused by EOA 0x4af2 who dumped tokens for ~$45k.,"45,000",Rug Pull,2023-09-21,https://etherscan.io/address/0xd33830fcc5e434dbb4eff9d5348d74ee2cbd505f,,,,,,
FriendChipsTech,,"The FriendChipsTech token on ETH was suspected to be a rug pull, resulting in a loss of ~$77.5K. The exploiter created a malicious contract (0x1dB0B6012D64452ED6aa98e87F7c308DB0281E40) to mint tokens and dump them for ~$77.5K which has already been deposited to Tornado Cash.","77,500",Rug Pull,2023-09-15,https://twitter.com/ASongofTokens/status/1702750744556814551,,,,,,
OxODexPool,,OxODexPool suffered from a flash loan. ETH: 0x6128d5F7c64Dab48a1C66f9D62EaeFa1d5aA03ed. Approximately 40 ETH (~$61k) was lost. The stolen funds currently reside in the attacker's wallet.,"61,000",Flash Loan Attack,2023-09-12,https://twitter.com/Cointime_CN/status/1701420147616145422,,,,,,
LDO,,"On September 10, according to on-chain intelligence from the SlowMist security team, when the LDO token contract is processing a transfer operation, if the transfer amount exceeds the amount actually held by the user, the operation will not trigger the rollback of the transaction. Instead, it will directly return a `false` as the processing result. This approach is different from many common ERC20 standard token contracts. Due to the above characteristics, there is a potential risk of ""fake top-up"", and malicious attackers may try to use this feature to conduct fraud. On September 11, Lido stated that this behavior was expected and complies with ERC20 token standards. LDO and stETH are still safe. The Lido Token Integration Guide will be updated with LDO details to show this more obviously.",-,False top-up,2023-09-10,https://twitter.com/SlowMist_Team/status/1700782725593268448,,,,,,
PEPE,,"On September 9, PEPE stated on Twitter that PEPE’s old Telegram account had been hacked and was no longer under official control. The Twitter account ""lordkeklol"" has been compromised and used to perpetrate scams and is in no way affiliated with PEPE or its team members. All official information from PEPE will be released via its Twitter account in the coming weeks.",-,Telegram was hacked,2023-09-09,https://twitter.com/pepecoineth/status/1700335056433393690,,,,,,
Fake Lybra Finance Token,,"A fake Lybra Finance token executed a exit scam on September 5th. Deployer added 60 WETH to LP and removed 83 WETH, profiting 23 WETH (~$37k).","37,000",Rug Pull,2023-09-05,https://etherscan.io/address/0x30740f954ce02c0eedfb5f0ef2e8c3157be3e000#tokentxns,,,,,,
Haribo,,There is a large liquidity removal on Haribo. Owner removed ~24 ETH ($35.4k) from the tokens LP. Token appears to be a honeypot. Token Contract: 0x582992190976d9d96e5ABbB711259744A00e809e.,"35,400",Rug Pull,2023-09-05,https://etherscan.io/address/0x582992190976d9d96e5abbb711259744a00e809e,,,,,,
Stake.com,,"The encrypted gambling platform Stake.com has been attacked, including the ETH/Polygon/BSC chain, and the loss has reached 41 million US dollars. On September 5, Stake co-founder Edward Craven confirmed the hack but said the platform’s private keys had not been compromised. Craven said the attack was a ""sophisticated breach"" that targeted the company's services used to authorize transactions on the Ethereum, Polygon and BNB Chain blockchains. On September 6, the US Federal Bureau of Investigation (FBI) stated that the North Korean hacker group Lazarus Group was responsible for the Stake.com attack.","41,000,000",Wallet Stolen,2023-09-04,https://twitter.com/Stake/status/1698746766076588057,,,,,,
CoredeFinance,,"The CoredeFinance project performed an exit scam and EOA (0x18500) made a profit of 27 ETH (~$43,900).","43,900",Rug Pull,2023-09-02,https://etherscan.io/address/0x6fe397b88675beb98797e14eeaf84021e5c054c9,,,,,,
BabyShia,,"The BabyShia project implemented an exit scam. The deployer (0xCbcd8) has earned 133 ETH (about $226,000).","226,000",Rug Pull,2023-08-31,https://etherscan.io/address/0x846422103b109EFbE7DD15F541c3dfc838FC1848,,,,,,
Starkware,,"For months, Ethereum layer 2 solution Starkware has repeatedly warned users that their funds would be lost if they did not take action before upgrading, but some users apparently did not see these notifications, which resulted in many users being locked out. Locked out of StarkWare accounts, losing access to funds, totaling $550,000 in affected accounts. Due to community pressure, Starkware has re-enabled the ability to upgrade wallets.","550,000",Wallet not upgraded,2023-08-30,https://fullycrypto.com/starkware-bows-to-pressure-over-lost-funds,,,,,,
PEPE,,"PEPE said on Twitter that 16 trillion pieces of PEPE were sold yesterday because three former members deleted the multi-signature permissions after stealing tokens. However, Jeremy Cahen, founder of the NFT market Not Larva Labs, issued a post saying that the ""truth"" announced by PEPE was a complete lie, and said that he and the community were used by the PEPE team. On August 26, PEPE tweeted that PEPE's Telegram group is currently locked, the group owner's old Telegram account was hacked, and the group has been taken over by hackers.","15,080,000",Insider Manipulation,2023-08-26,https://twitter.com/pepecoineth/status/1695267128428114005,,,,,,
Balancer,,"Balancer says it has received reports of a critical vulnerability affecting multiple V2 pools. Emergency mitigation procedures have been implemented to secure the majority of TVL, but some funds remain at risk. Users are advised to immediately withdraw affected LPs. According to news on August 28, Balancer’s losses have exceeded $2.1 million, and multiple fund pools on Ethereum, Fantom, and Optimism have been affected.","2,100,000",Flash Loan Attack,2023-08-22,https://twitter.com/balancer/status/1694014645378724280,,,,,,
Exactly Protocol,,"The DeFi lending protocol Exactly Protocol was attacked and lost more than 7,160 ETH (approximately $12.04 million). The two contract attackers attack by calling the function kick() multiple times and use the developer contract on Ethereum to transfer deposits to Optimism and eventually transfer the stolen funds back to Ethereum. The root cause of the Exactly Protocol attack is #insufficient_check, the attacker bypasses the permission check in the leverage function of the DebtManager contract by directly passing an unverified fake market address and changing _msgSender to the victim address. Then, in an untrusted external call, the attacker re-enters the crossDeleverage function in the DebtManager contract and steals the collateral from the _msgSender class. Exactly Protocol tweeted that the suspension of the agreement has been lifted, users can perform all operations, and no liquidation has occurred. The hack only affected users using the peripheral contract (DebtManager), the protocol is still functioning normally.","7,300,000",Unchecked Input Data,2023-08-18,https://www.wu-talk.com/index.php?m=content&c=index&a=show&catid=46&id=17283,,,,,,
Zunami Protocol,,"The Zunami Protocol on Ethereum suffered a price manipulation attack and lost 1,179 ETH (approximately $2.2 million). The reason for the incident is that the calculation of LP price in the vulnerable contract depends on the CRV balance of the contract itself and the conversion ratio of CRV in the wETH/CRV pool. The attacker manipulated the LP price by transferring CRV to the contract and manipulating the conversion ratio of the wETH/CRV pool. According to MistTrack analysis, ETH has been transferred to Tornado Cash at present.","2,200,000",Price Manipulation,2023-08-14,https://www.odaily.news/newsflash/332604?source=share,,,,,,
Earning.Farm,,"The DeFi project Earning.Farm suffered a reentrancy attack and lost 286 ETH (approximately $530,000). According to the analysis of SlowMist, the attacker re-enters the transfer function of LP to transfer LP tokens when withdrawing money, making the balance of the account smaller than the previously calculated shares value, triggering the logic of updating the shares value, resulting in the number of manipulated LPs being updated to the desired value. In terms of the value of the burned shares, this resulted in the final amount of LP burned being much smaller than expected, and the user can withdraw the funds in the pool by withdrawing the transferred LP again.","530,000",Reentrancy Attack,2023-08-09,https://etherscan.io/address/0xee4b3dd20902Fa3539706F25005fa51D3b7bDF1b,,,,,,
Steadefi,,"Steadefi, an automated yield leveraged strategy platform, tweeted: “Our protocol deployer wallet (which is also the owner of all vaults in the protocol) has been compromised. Attackers have transferred ownership of all vaults (borrows and strategies) to them in a wallet controlled by the user and continue to take various owner-only operations, such as allowing any wallet to be able to borrow any available funds from the lending vault. Currently, all available lending capacity on Arbitrum and Avalanche has been exhausted by the attackers, and the assets have been swapped for ETH and bridged to Ethereum. On-chain messages have been sent to the attacker wallet address for negotiation. Steadefi wants to discuss the bounty with parties involved in the exploit, offering a 10% reward on the stolen funds. "" Steadefi has lost approximately $1.158 million in the incident. On August 8, the Steadefi team managed to recover approximately $540,000 in user funds from remaining vaults.","1,158,000",Private Key Leakage,2023-08-08,https://twitter.com/steadefi/status/1688619454178144264,,,,,,
Bitlord,,"Bitlord (BITLORD) A lot of liquidity has been removed. The deployer removed about 309 WETH from LP, worth about $567,000. The token project is suspected to be a honeypot scam.","567,000",Rug Pull,2023-08-06,https://www.panewslab.com/zh/sqarticledetails/9qw8r7dr.html,,,,,,
Uwerx network,,"he Uwerx network was attacked and lost about 174.78 ETH. According to the analysis of SlowMist, the root cause is that when the receiving address is uniswapPoolAddress (0x01), it will burn off 1% more tokens of the transfer amount of the from address, so the attacker uses the skim function of the uniswapv2 pool to consume a large number of WERX tokens, and then calls the sync function to maliciously inflate the price of the token, and then reverses the swap to extract the ETH to gain profit.","324,000",Price Manipulation,2023-08-02,https://twitter.com/SlowMist_Team/status/1686674169189249024,,,,,,
InsurAce,,"InsurAce, a DeFi insurance protocol, tweeted: ""Our Discord server experienced a security breach. Our team discovered an unauthorized access to the server earlier today. We take this incident very seriously and are working hard to correct the situation. During this time, please do not interact with the server."" According to the analysis of SlowMist, the phishing website is insurance.gift, and PinkDrainer is behind it.",-,Discord was hacked,2023-08-02,https://twitter.com/InsurAce_io/status/1686664525813358593,,,,,,
Curve Finance,,"Curve Finance tweeted that many stablecoin pools (alETH/msETH/pETH) using Vyper 0.2.15 were attacked due to a faulty recursive lock. crvUSD contracts and other fund pools are not affected. As of now, the Curve Finance stablecoin pool hack has caused a cumulative loss of $73.5 million to Alchemix, JPEG'd, MetronomeDAO, deBridge, Ellipsis, and CRV/ETH pools. On August 6, Alchemix tweeted that the Curve Finance hacker had returned all of Alchemix's funds in the Curve pool. On August 19, MetronomeDAO stated that a MEV bot named ""c0ffeebabe"" had recovered most of the stolen funds and returned them to Metronome.","25,123,594",Affected by  Vyper Vulnerability,2023-07-30,https://www.panewslab.com/zh/sqarticledetails/wu339f1f.html,,,,,,
Alchemix,,"DeFi lending protocol Alchemix said on Twitter that after receiving notification from Curve Finance that the altH/ETH pool was attacked due to a Vyper bug, Alchemix quickly began removing AMO-controlled liquidity from the Curve pool through the AMO contract. The exploit was performed on the Curve pool contract. The Alchemix smart contract has not been compromised in any way and funds are safe. executed on the contract. Three transactions are required: unstake LP tokens from Convex, withdraw alETH from Curve pool, and withdraw ETH from Curve pool. The first transaction above has been executed, and after the second transaction is executed, 8000 ETH is removed from the Curve pool. This means that there is still about 5,000 ETH liquidity controlled by AMO in the Curve pool. In the process of removing the remaining liquidity, the alETH/ETH Curve pool was drained by the attacker. Currently, the alETH reserve has lost about 5,000 ETH. On September 4th, Alchemix issued a document stating that a white hat MEV robot operator has returned 43.3 ETH profits obtained through arbitrage from the Curve alETH/ETH pool attack incident, which will be added to the redistribution of funds.","35,315,843",Affected by Vyper Vulnerability,2023-07-30,https://twitter.com/AlchemixFi/status/1685737632133971968,,,,,,
Vyper,,"On August 6, the Ethereum compiler Vyper released an analysis report on last week's vulnerability incidents: Prior to July 30, due to potential vulnerabilities in the Vyper compiler, multiple Curve liquidity pools were exploited. While the bug was identified and patched, the impact on protocols using the vulnerable compiler was not recognized at the time, nor were they explicitly notified. The vulnerability itself is an improperly implemented reentrancy prevention, and the affected Vype versions are v0.2.15, v0.2.16, v0.3.0. Vulnerability fixed and tested in v0.3.1, v0.3.1 and later are safe.",-,Compiler Bug,2023-07-30,https://hackmd.io/@vyperlang/HJUgNMhs2,,,,,,
Conic Finance,,This second attack was unrelated to the ETH Omnipool's re-entrancy exploit. The attacker was able to realize a profit of approximately $300k by exploiting the crvUSD Omnipool. We will share more updates as we continue to investigate.,"300,000",Flash Loan Attack,2023-07-22,https://twitter.com/ConicFinance/status/1682524319518269440,,,,,,
Conic Finance,,"On July 21, Conic Finance ’s ETH omnipool was hit by a series of small hacks that cost around $3.2 million. Conic Finance issued an update on the attack, saying, “The root cause of the attack is due to an incorrect assumption about the address returned by the ETH’s Curve meta-registry in the Curve V2 pool, which enables reentrancy attacks and is deploying fixes for the affected contracts.","3,200,000",Reentrancy Attack,2023-07-21,https://twitter.com/ConicFinance/status/1682385596700844032,,,,,,
Ethscriptions.com,,"Ethscriptions.com was hacked, and about 123 individual addresses lost a total of about 202 Ethscriptions. In terms of value, it is unclear how much the attack caused. Based on the current lowest price of $14, the loss is at least $2,828. Ethscriptions creator Tom Lehman stated that this is not a vulnerability in the Ethscriptions protocol. This is a vulnerability in a specific smart contract (0x3ca843b98a2fe8ef69bb0f169afad3812c275f5e). The protocol itself and other applications running on it are not affected in any way. Meanwhile, Lehman claimed responsibility for the attack, explaining that the vulnerability can be traced back to a smart contract he and Indelible Labs co-founder Michael Hirsch created. It is reported that a small piece of code included in it allows people to withdraw Ethscriptions that do not belong to them from the market. Lehman also said that the Ethscriptions.com marketplace will be relaunched and that he has been in touch with many users affected by the bug.","2,828",Contract Vulnerability,2023-07-13,https://twitter.com/dumbnamenumbers/status/1679259067833786374,,,,,,
Arcadia Finance,,"Arcadia Finance has been attacked on Ethereum and Optimism, with total profits of $400K. The root cause is that in function vaultManagementAction, the attacker can first transfer all the asset to his own controlled contract and re-entry the function liquidateVault to liquidiate the vault. In this case, the global variable ""isTrustedCreditorSet"" will be set as false and the Collateral check can be bypassed.","455,000",Contract Vulnerability,2023-07-10,https://twitter.com/Phalcon_xyz/status/1678270672911605760,,,,,,
CivFund,,"CivFund's ETH contract was attacked and lost $180,000. The attacker calls uniswapV3MintCallback to transfer funds approved by other users. Please revoke approval for the contract under attack as soon as possible.","180,000",Contract Vulnerability,2023-07-09,https://twitter.com/revokecash/status/1677729762653995011?s=46&t=DLwbX9Nw4QECiyZQ0av-fg,,,,,,
MIKE & SID,,"Mike Wazowski Monsters Inc  $MIKE and Sid Ice Age $SID on the Ethereum chain have been rugged via a backdoor function that allows unlimited minting of tokens. The scammer has profited 87.9 $ETH, equivalent to about $171,000.","171,000",Contract Vulnerability,2023-07-04,https://foresightnews.pro/news/detail/25656,,,,,,
Smurfs Coin,,"The Smurfs Coin project is an exit scam, and the contract deployer sold the tokens on June 13 and removed a total of 227 ETH (approximately $423,000) of liquidity. The contract address is ETH: 0x5F250ed62CF3E5cF25F4F370d35D04782b0678a3, not to be confused with a project with a similar name.","423,000",Rug Pull,2023-06-30,https://etherscan.io/address/0x5F250ed62CF3E5cF25F4F370d35D04782b0678a3,,,,,,
Themis,,"Themis, a cryptographic lending protocol, has been subject to a prophecy machine manipulation attack, and the attackers have stolen approximately $370,000. The hack is due to a flawed oracle, exploited to inflate the B-wstETH-WETH-Stable-gauge price. Specifically, the deposit of 54.6 B-wstETH-WETH-Stable-gauge (obtained by joining the balancer pool w/ 55 WETH) is able to borrow 317 WETH, basically draining the lending funds.","370,000",Oracle Attack,2023-06-28,https://twitter.com/ThemisProtocol/status/1673806486299099137,,,,,,
IPO,,"The project named ""IPO"" (Twitter handle @IPO_web3) is suspected to have suffered a Rug Pull, losing around 102,000 BSC-USD, the project's tokens are down 32%, and the stolen funds are now located in addresses beginning with 0x35fe.","102,000",Rug Pull,2023-06-20,https://bscscan.com/address/0x35fef3c5642797a4383a07afe3ce7113cc7bfc7b,,,,,,
"DEP/USDT,  LEV/USDC",,"DEP/USDT and LEV/USDC pools were stolen with 105,800 stablecoins worth (36,000 USDC and 69,960,000 USDT), and the attackers initially received 1 ETH of initial funding from Tornado Cash.","105,800",Unknown,2023-06-15,https://www.panewslab.com/zh/sqarticledetails/xbxdm9ar.html,,,,,,
Sturdy,,"The DeFi lending protocol Sturdy is suspected to have been hacked, and information on the chain suggests that the attack may have been carried out through price manipulation. The attackers have transferred 442.6 ETH to Tornado Cash.","770,000",Price Manipulation,2023-06-12,https://etherscan.io/address/0x1e8419e724d51e87f78e222d935fbbdeb631a08b,,,,,,
unshETH,,"The LSDFi protocol unshETH stated that at around 22:00 on May 31, one of the deployment private keys of the unshETH contract was leaked. For the sake of caution, the official has urgently suspended the withdrawal of unshETH's ETH. According to the security model, unshETH's ETH deposit (TVL up to 35 million US dollars) is protected by multi-signature + time lock and is not at risk.","375,000",Private Key Leakage,2023-05-31,https://twitter.com/unsheth_xyz/status/1664534089704275968,,,,,,
Pixel Penguin,,"On-chain detective ZachXBT tweeted that a Rug Pull occurred on Pixel Penguin, a charity project created by Hopeexist1, which claimed to raise funds to help him fight cancer. At present, the social accounts of Hopeexist1 and Pixel Penguin have been deleted, and the Pixel Penguin contract is worth only $117,000 (61.686 ETH).","117,000",Rug Pull,2023-05-31,https://twitter.com/zachxbt/status/1663708430274551808,,,,,,
Waifu AI World,,"Twitter user @ChrisONCT cited on-chain data to expose a suspected scam Meme coin project Waifu AI World (WFAI). The token economics announced by the project stated that 95% of the supply was allocated to LPs. However, shortly after WFAI went online, 4 new wallets spent a total of 14.4 ETH in four transactions to purchase 647 trillion WFAI, accounting for approximately 83.2% of supply (777 trillion). At present, the project party has blacklisted the wallets that purchased 457 trillion WFAI, and now the total supply of WFAI is 320 trillion, which means that 190 trillion tokens are held by insiders, accounting for 60% of the total token supply. And DWF Labs spent about 20 ETH to purchase 624.9 billion WFAI yesterday afternoon; DEXTools trust score changed from extremely low to extremely high within a few hours.",-,Scam,2023-05-31,https://twitter.com/ChrisONCT/status/1663261546070278144,,,,,,
Sashimi Swap,,"A MEV bot (0xb2…2B96 is the MEV bot call contract, 0xb4…0343 is the single-use MEV bot) borrowed 95,000 WETH (worth nearly $180 million) via flash loan to attack Sashimi Swap. The bot swept away the last remaining money in Sashimi’s investment contract and slETH contract, but only about $3,500. It is reported that Sashimi Swap was attacked in December 2021 and lost $210,000, and the project was subsequently abandoned.","3,500",Flash Loan Attack,2023-05-31,https://twitter.com/ArkhamIntel/status/1664210608865042435,,,,,,
EDE,,"The perpetual DEX El Dorado Exchange (EDE) is suspected to have been attacked with losses of about $580,000, and an address has been sending small amounts of money to Arbitrum's ELP-1 pool and withdrawing large amounts immediately afterwards. The attacker claimed that the protocol backdoor allowed the developer to force the liquidation of any positions and would return the funds if the developer admitted to price manipulation. 334,000 USDC were returned by the attacker on May 30. By May 31, the attackers had returned more than $400,000 in stolen funds. Dorado revealed that the attackers charged 10% of the stolen funds as a fee when returning them.","580,000",Contract Vulnerability,2023-05-30,https://twitter.com/resdegen/status/1663322636594675713,,,,,,
WEEB,,"The WEEB project was attacked by price manipulation. The hacker used the performUpkeep function in the WEEB token to burn the balance of a large number of WEEB tokens in the pair, thereby increasing the price of WEEB and making a profit of 16 ETH.",16 ETH,Price Manipulation,2023-05-10,https://www.panewslab.com/zh/sqarticledetails/iizfq6j2.html,,,,,,
FLOKI,,"The ethereum-based meme cryptocurrency FLOKI has suffered a lightning loan attack with a loss of over $50,000. Stolen TX: https://etherscan.io/tx/0x118b7b7c11f9e9bd630ea84ef267b183b34021b667f4a3061f048207d266437a","50,000",Flash Loan Attack,2023-05-10,https://etherscan.io/tx/0x118b7b7c11f9e9bd630ea84ef267b183b34021b667f4a3061f048207d266437a,,,,,,
HAKUNA,,"Hakuna Matata ($HAKUNA) Rugged. The scammer initially obtained 2.76 ETH from Orbiter Finance Bridge and added 2 ETH liquidity, then exchanged 4,999T HAKUNA for 17 ETH ($31,683.11), and mortgaged 13.5 ETH to Lido.","31,683.11",Rug Pull,2023-05-09,https://etherscan.io/tx/0xef7c4b12a1472041cd423734c44386b066fbc51876641751f294f5c3bf613b2c,,,,,,
HIS,,"FTX ($HIS) Rugged. The scammer initially obtained 2.76 ETH from Orbiter Finance Bridge and added 2 ETH liquidity, then exchanged 4,999T HIS for 13 ETH ($24,568.11), and mortgaged 11.5 ETH to Lido.","24,568.11",Rug Pull,2023-05-09,https://etherscan.io/tx/0x95daac9b51130f7302d4db283f5421efb58438455f1037d0e5b5d37aafe7663d,,,,,,
FREDDIE,,"Freddie ($FREDDIE) has Rugged. The scammer initially obtained 2.96 ETH from Orbiter Finance Bridge and added 2 ETH liquidity, then exchanged 4,999T FREDDIE for 28 ETH ($52,344.4), and mortgaged 22.5 ETH to Lido.","52,344.4",Rug Pull,2023-05-09,https://etherscan.io/tx/0x9076a2dec09578bc5b14c40f6a58f0387bee36530588d5d0a2d1b783c8963908,,,,,,
DMAN,,"Derpman ($DMAN) Rugged. The scammer initially obtained 4 ETH from Binance, added 3 ETH to liquidity, then exchanged 1,200T DMAN for 48.55 ETH ($89,611.09), and transferred these ETHs to 0x4d1f…915.","89,611.09",Rug Pull,2023-05-09,https://etherscan.io/address/0xcf18022d77d67134dbf462b7484eb3788d56561c,,,,,,
GNS,,"GeniusMeme ($GNS) has Rugged 33.6 ETH($62,180.81). The scammer initially received 4 ETH from Binance and added 3 ETH to liquidity.","62,180.81",Rug Pull,2023-05-09,https://etherscan.io/address/0x1452fd05c0c090391e2d1529cb14fa3e9405d349,,,,,,
